Time,CloudCover (In %),Direct_radiation (W/m²),Humidity (%H),Precipitaion (mm),SolarGeneration (MW),Surface_Pressure (hPa),Temperature (°C),ThermalGeneration (GW),Energy_Demand (GW),WindGeneration (MW),WindSpeed (km/h),USD_EGP_FX (EGP),Air_Density,BRENT_Crude_Oil_USD ($)
8/21/2022 9:00,0%,840 W/m²,29 %H,0 mm,2.54 GW,1004 hPa,34.5 °C,6.10 GW,8.74 GW,98.5 MW,16.1 km/h,19.2 EGP,1.14,$96.00 
8/21/2022 9:15,0%,847 W/m²,26 %H,0 mm,2.56 GW,1004 hPa,34.6 °C,5.90 GW,8.57 GW,113 MW,16.6 km/h,19.2 EGP,1.14,$95.80 
8/21/2022 9:30,0%,842 W/m²,28 %H,0 mm,2.52 GW,1003 hPa,35.5 °C,6.44 GW,9.09 GW,121 MW,16.9 km/h,19.2 EGP,1.13,$95.30 
8/21/2022 9:45,0%,853 W/m²,26 %H,0 mm,2.57 GW,1004 hPa,35.1 °C,6.17 GW,8.86 GW,118 MW,16.8 km/h,19.2 EGP,1.13,$95.60 
8/21/2022 10:00,0%,855 W/m²,25 %H,0 mm,2.55 GW,1003 hPa,35.9 °C,6.52 GW,9.20 GW,126 MW,17.1 km/h,19.2 EGP,1.13,$96.40 
8/21/2022 10:15,0%,855 W/m²,24 %H,0 mm,2.55 GW,1003 hPa,36.3 °C,5.99 GW,8.68 GW,145 MW,17.8 km/h,19.2 EGP,1.13,$95.70 
8/21/2022 10:30,0%,855 W/m²,23 %H,0 mm,2.54 GW,1003 hPa,36.6 °C,6.41 GW,9.09 GW,145 MW,17.8 km/h,19.2 EGP,1.13,$95.80 
8/21/2022 10:45,0%,855 W/m²,25 %H,0 mm,2.54 GW,1003 hPa,36.4 °C,6.93 GW,9.60 GW,128 MW,18.2 km/h,19.2 EGP,1.13,$95.40 
8/21/2022 11:00,0%,855 W/m²,22 %H,0 mm,2.53 GW,1003 hPa,36.9 °C,6.63 GW,9.29 GW,128 MW,18.2 km/h,19.2 EGP,1.13,$95.80 
8/21/2022 11:15,0%,841 W/m²,22 %H,0 mm,2.48 GW,1003 hPa,37.2 °C,7.01 GW,9.63 GW,131 MW,18.3 km/h,19.2 EGP,1.13,$95.20 
8/21/2022 11:30,0%,850 W/m²,22 %H,0 mm,2.50 GW,1003 hPa,37.5 °C,6.32 GW,8.96 GW,135 MW,18.4 km/h,19.2 EGP,1.12,$95.90 
8/21/2022 11:45,0%,839 W/m²,22 %H,0 mm,2.47 GW,1002 hPa,37.4 °C,7.04 GW,9.64 GW,131 MW,18.3 km/h,19.2 EGP,1.12,$96.00 
8/21/2022 12:00,0%,837 W/m²,21 %H,0 mm,2.46 GW,1002 hPa,37.5 °C,7.30 GW,9.90 GW,138 MW,18.5 km/h,19.2 EGP,1.12,$95.90 
8/21/2022 12:15,0%,825 W/m²,21 %H,0 mm,2.43 GW,1002 hPa,37.7 °C,7.06 GW,9.63 GW,138 MW,18.5 km/h,19.2 EGP,1.12,$95.80 
8/21/2022 12:30,0%,818 W/m²,21 %H,0 mm,2.41 GW,1002 hPa,37.6 °C,7.24 GW,9.79 GW,138 MW,18.5 km/h,19.2 EGP,1.12,$95.10 
8/21/2022 12:45,0%,833 W/m²,21 %H,0 mm,2.45 GW,1002 hPa,37.6 °C,7.43 GW,10.0 GW,138 MW,18.5 km/h,19.2 EGP,1.12,$95.70 
8/21/2022 13:00,0%,800 W/m²,20 %H,0 mm,2.35 GW,1002 hPa,37.7 °C,7.50 GW,9.99 GW,135 MW,18.4 km/h,19.2 EGP,1.12,$96.20 
8/21/2022 13:15,0%,741 W/m²,20 %H,0 mm,2.18 GW,1002 hPa,37.6 °C,7.43 GW,9.75 GW,135 MW,18.4 km/h,19.2 EGP,1.12,$96.10 
8/21/2022 13:30,0%,779 W/m²,20 %H,0 mm,2.29 GW,1002 hPa,37.7 °C,7.00 GW,9.45 GW,150 MW,18 km/h,19.2 EGP,1.12,$95.60 
8/21/2022 13:45,0%,746 W/m²,20 %H,0 mm,2.19 GW,1002 hPa,37.7 °C,7.92 GW,10.3 GW,150 MW,18 km/h,19.2 EGP,1.12,$95.20 
8/21/2022 14:00,0%,731 W/m²,20 %H,0 mm,2.15 GW,1001 hPa,37.5 °C,7.61 GW,9.91 GW,148 MW,17.9 km/h,19.2 EGP,1.12,$95.70 
8/21/2022 14:15,0%,723 W/m²,21 %H,0 mm,2.13 GW,1001 hPa,37.2 °C,7.24 GW,9.52 GW,145 MW,17.8 km/h,19.2 EGP,1.12,$95.90 
8/21/2022 14:30,0%,731 W/m²,22 %H,0 mm,2.16 GW,1001 hPa,37 °C,7.96 GW,10.3 GW,148 MW,17.9 km/h,19.2 EGP,1.12,$95.90 
8/21/2022 14:45,0%,656 W/m²,22 %H,0 mm,1.94 GW,1001 hPa,36.9 °C,8.55 GW,10.6 GW,142 MW,17.7 km/h,19.2 EGP,1.12,$95.40 
8/21/2022 15:00,0%,610 W/m²,22 %H,0 mm,1.81 GW,1001 hPa,36.9 °C,8.05 GW,10.00 GW,142 MW,17.7 km/h,19.2 EGP,1.12,$95.70 
8/21/2022 15:15,0%,508 W/m²,25 %H,0 mm,1.52 GW,1001 hPa,36 °C,8.24 GW,9.90 GW,143 MW,17.7 km/h,19.2 EGP,1.13,$96.30 
8/21/2022 15:30,0%,535 W/m²,23 %H,0 mm,1.59 GW,1001 hPa,36.4 °C,8.26 GW,9.99 GW,143 MW,17.7 km/h,19.2 EGP,1.13,$96.10 
8/21/2022 15:45,0%,480 W/m²,23 %H,0 mm,1.44 GW,1001 hPa,35.8 °C,8.00 GW,9.58 GW,143 MW,17.7 km/h,19.2 EGP,1.13,$95.70 
8/21/2022 16:00,0%,393 W/m²,25 %H,0 mm,1.18 GW,1002 hPa,35.8 °C,8.50 GW,9.82 GW,143 MW,17.7 km/h,19.2 EGP,1.13,$96.10 
8/21/2022 16:15,0%,339 W/m²,27 %H,0 mm,1.02 GW,1002 hPa,35.4 °C,8.79 GW,9.94 GW,136 MW,18.4 km/h,19.2 EGP,1.13,$95.70 
8/21/2022 16:30,0%,295 W/m²,27 %H,0 mm,893 MW,1002 hPa,34.4 °C,8.45 GW,9.55 GW,198 MW,20.1 km/h,19.2 EGP,1.13,$95.80 
8/21/2022 16:45,0%,30 W/m²,29 %H,0 mm,90.7 MW,1002 hPa,34.6 °C,9.34 GW,9.60 GW,162 MW,19.1 km/h,19.2 EGP,1.13,$96.00 
8/21/2022 17:00,0%,24 W/m²,29 %H,0 mm,73.1 MW,1002 hPa,33.8 °C,9.80 GW,10.1 GW,199 MW,20.1 km/h,19.2 EGP,1.14,$95.20 
8/21/2022 17:15,0%,24 W/m²,34 %H,0 mm,73.3 MW,1002 hPa,33.5 °C,8.99 GW,9.30 GW,236 MW,21.1 km/h,19.2 EGP,1.14,$96.20 
8/21/2022 17:30,0%,24 W/m²,31 %H,0 mm,73.1 MW,1002 hPa,33.8 °C,9.57 GW,9.90 GW,255 MW,23 km/h,19.2 EGP,1.14,$95.40 
8/21/2022 17:45,0%,17 W/m²,35 %H,0 mm,52.2 MW,1002 hPa,32.9 °C,9.71 GW,10.0 GW,244 MW,22.8 km/h,19.2 EGP,1.14,$95.90 
8/21/2022 18:00,0%,0 W/m²,35 %H,0 mm,0 MW,1002 hPa,32.1 °C,9.63 GW,9.92 GW,287 MW,23.5 km/h,19.2 EGP,1.14,$95.60 
8/21/2022 18:15,0%,0 W/m²,40 %H,0 mm,0 MW,1003 hPa,30.6 °C,9.34 GW,9.62 GW,282 MW,23.4 km/h,19.2 EGP,1.15,$95.30 
8/21/2022 18:30,0%,0 W/m²,37 %H,0 mm,0 MW,1002 hPa,31.7 °C,9.59 GW,9.87 GW,281 MW,23.4 km/h,19.2 EGP,1.14,$95.60 
8/21/2022 18:45,0%,0 W/m²,39 %H,0 mm,0 MW,1003 hPa,31.5 °C,9.55 GW,9.82 GW,263 MW,23.1 km/h,19.2 EGP,1.15,$96.30 
8/21/2022 19:00,0%,0 W/m²,40 %H,0 mm,0 MW,1003 hPa,30.6 °C,8.96 GW,9.22 GW,252 MW,22.9 km/h,19.2 EGP,1.15,$95.80 
8/21/2022 19:15,0%,0 W/m²,46 %H,0 mm,0 MW,1003 hPa,30.4 °C,9.40 GW,9.63 GW,227 MW,20.8 km/h,19.2 EGP,1.15,$96.30 
8/21/2022 19:30,0%,0 W/m²,46 %H,0 mm,0 MW,1003 hPa,30.6 °C,9.39 GW,9.59 GW,205 MW,20.2 km/h,19.2 EGP,1.15,$96.40 
8/21/2022 19:45,0%,0 W/m²,46 %H,0 mm,0 MW,1003 hPa,29.7 °C,8.94 GW,9.15 GW,205 MW,22.1 km/h,19.2 EGP,1.15,$96.00 
8/21/2022 20:00,0%,0 W/m²,46 %H,0 mm,0 MW,1003 hPa,29.3 °C,9.21 GW,9.42 GW,205 MW,20.2 km/h,19.2 EGP,1.16,$95.40 
8/21/2022 20:15,0%,0 W/m²,48 %H,0 mm,0 MW,1003 hPa,28.3 °C,9.16 GW,9.35 GW,191 MW,19.8 km/h,19.2 EGP,1.16,$96.00 
8/21/2022 20:30,0%,0 W/m²,47 %H,0 mm,0 MW,1003 hPa,28.1 °C,8.95 GW,9.15 GW,202 MW,20.1 km/h,19.2 EGP,1.16,$95.40 
8/21/2022 20:45,0%,0 W/m²,51 %H,0 mm,0 MW,1003 hPa,29.2 °C,9.24 GW,9.42 GW,183 MW,19.6 km/h,19.2 EGP,1.16,$95.20 
8/21/2022 21:00,0%,0 W/m²,51 %H,0 mm,0 MW,1003 hPa,28 °C,9.09 GW,9.25 GW,154 MW,18.8 km/h,19.2 EGP,1.16,$96.40 
8/21/2022 21:15,0%,0 W/m²,52 %H,0 mm,0 MW,1003 hPa,27.8 °C,8.63 GW,8.74 GW,117 MW,16.7 km/h,19.2 EGP,1.16,$96.00 
8/21/2022 21:30,0%,0 W/m²,55 %H,0 mm,0 MW,1003 hPa,27.9 °C,8.08 GW,8.21 GW,125 MW,17 km/h,19.2 EGP,1.16,$96.40 
8/21/2022 21:45,0%,0 W/m²,54 %H,0 mm,0 MW,1003 hPa,27.4 °C,8.04 GW,8.18 GW,138 MW,18.4 km/h,19.2 EGP,1.16,$95.70 
8/21/2022 22:00,0%,0 W/m²,57 %H,0 mm,0 MW,1003 hPa,26.8 °C,8.23 GW,8.31 GW,82.5 MW,15.5 km/h,19.2 EGP,1.16,$95.80 
8/21/2022 22:15,0%,0 W/m²,62 %H,0 mm,0 MW,1003 hPa,26 °C,7.92 GW,8.00 GW,84.8 MW,15.6 km/h,19.2 EGP,1.17,$95.90 
8/21/2022 22:30,0%,0 W/m²,58 %H,0 mm,0 MW,1003 hPa,25.9 °C,7.64 GW,7.73 GW,82.6 MW,15.5 km/h,19.2 EGP,1.17,$96.40 
8/21/2022 22:45,0%,0 W/m²,62 %H,0 mm,0 MW,1003 hPa,25.9 °C,7.48 GW,7.57 GW,82.0 MW,15.5 km/h,19.2 EGP,1.17,$95.10 
8/21/2022 23:00,0%,0 W/m²,63 %H,0 mm,0 MW,1003 hPa,25.8 °C,7.72 GW,7.80 GW,84.7 MW,15.6 km/h,19.2 EGP,1.17,$96.10 
8/21/2022 23:15,0%,0 W/m²,69 %H,0 mm,0 MW,1003 hPa,25.6 °C,7.20 GW,7.28 GW,75.4 MW,15.3 km/h,19.2 EGP,1.17,$95.30 
8/21/2022 23:30,0%,0 W/m²,70 %H,0 mm,0 MW,1003 hPa,25.5 °C,7.37 GW,7.45 GW,83.7 MW,15.6 km/h,19.2 EGP,1.17,$96.10 
8/21/2022 23:45,0%,0 W/m²,69 %H,0 mm,0 MW,1003 hPa,24.9 °C,6.87 GW,6.94 GW,75.6 MW,15.3 km/h,19.2 EGP,1.17,$96.30 
8/22/2022 0:00,0%,0 W/m²,70 %H,0 mm,0 MW,1003 hPa,24.8 °C,6.71 GW,6.78 GW,69.9 MW,15.1 km/h,19.2 EGP,1.17,$95.10 
8/22/2022 0:15,0%,0 W/m²,74 %H,0 mm,0 MW,1004 hPa,24.6 °C,6.99 GW,7.05 GW,58.3 MW,14.7 km/h,19.2 EGP,1.17,$97.10 
8/22/2022 0:30,0%,0 W/m²,74 %H,0 mm,0 MW,1004 hPa,24 °C,7.15 GW,7.22 GW,66.7 MW,15 km/h,19.2 EGP,1.18,$96.70 
8/22/2022 0:45,0%,0 W/m²,76 %H,0 mm,0 MW,1004 hPa,24.2 °C,6.80 GW,6.86 GW,63.7 MW,14.9 km/h,19.2 EGP,1.18,$98.20 
8/22/2022 1:00,0%,0 W/m²,76 %H,0 mm,0 MW,1004 hPa,23.9 °C,6.79 GW,6.86 GW,72.0 MW,14 km/h,19.2 EGP,1.18,$97.10 
8/22/2022 1:15,0%,0 W/m²,77 %H,0 mm,0 MW,1004 hPa,23.6 °C,6.84 GW,6.87 GW,29.3 MW,11.8 km/h,19.2 EGP,1.18,$98.60 
8/22/2022 1:30,0%,0 W/m²,77 %H,0 mm,0 MW,1004 hPa,23.7 °C,7.44 GW,7.49 GW,48.7 MW,12.8 km/h,19.2 EGP,1.18,$98.10 
8/22/2022 1:45,0%,0 W/m²,79 %H,0 mm,0 MW,1004 hPa,23.8 °C,7.43 GW,7.47 GW,36.9 MW,12.2 km/h,19.2 EGP,1.18,$96.50 
8/22/2022 2:00,0%,0 W/m²,80 %H,0 mm,0 MW,1004 hPa,23.6 °C,7.39 GW,7.41 GW,23.4 MW,11.5 km/h,19.2 EGP,1.18,$96.80 
8/22/2022 2:15,0%,0 W/m²,80 %H,0 mm,0 MW,1004 hPa,23.6 °C,7.64 GW,7.64 GW,3.30 MW,9.80 km/h,19.2 EGP,1.18,$95.20 
8/22/2022 2:30,0%,0 W/m²,80 %H,0 mm,0 MW,1004 hPa,23.7 °C,7.29 GW,7.32 GW,21.5 MW,11.4 km/h,19.2 EGP,1.18,$96.80 
8/22/2022 2:45,0%,0 W/m²,80 %H,0 mm,0 MW,1004 hPa,23.7 °C,7.56 GW,7.57 GW,9.91 MW,10.2 km/h,19.2 EGP,1.18,$97.90 
8/22/2022 3:00,0%,0 W/m²,80 %H,0 mm,0 MW,1004 hPa,23.7 °C,7.85 GW,7.85 GW,0 MW,9.40 km/h,19.2 EGP,1.18,$98.20 
8/22/2022 3:15,1%,9 W/m²,82 %H,0 mm,29.7 MW,1004 hPa,23.5 °C,7.27 GW,7.30 GW,0 MW,7.90 km/h,19.2 EGP,1.18,$98.10 
8/22/2022 3:30,1%,27 W/m²,81 %H,0 mm,88.9 MW,1004 hPa,23.7 °C,7.44 GW,7.53 GW,0 MW,8.30 km/h,19.2 EGP,1.18,$99.00 
8/22/2022 3:45,1%,29 W/m²,81 %H,0 mm,95.6 MW,1004 hPa,23.5 °C,7.28 GW,7.38 GW,0 MW,9 km/h,19.2 EGP,1.18,$97.90 
8/22/2022 4:00,1%,33 W/m²,82 %H,0 mm,109 MW,1005 hPa,23.5 °C,7.33 GW,7.44 GW,0 MW,6.50 km/h,19.2 EGP,1.18,$98.20 
8/22/2022 4:15,2%,293 W/m²,82 %H,0 mm,965 MW,1005 hPa,23.7 °C,6.51 GW,7.47 GW,0 MW,4.40 km/h,19.2 EGP,1.18,$96.00 
8/22/2022 4:30,3%,64 W/m²,80 %H,0 mm,210 MW,1005 hPa,24.5 °C,7.80 GW,8.01 GW,0 MW,5.60 km/h,19.2 EGP,1.18,$98.80 
8/22/2022 4:45,8%,156 W/m²,82 %H,0 mm,514 MW,1005 hPa,23.5 °C,7.47 GW,7.99 GW,0 MW,5.60 km/h,19.2 EGP,1.18,$97.00 
8/22/2022 5:00,9%,322 W/m²,79 %H,0 mm,1.06 GW,1005 hPa,24.6 °C,6.61 GW,7.66 GW,0 MW,3.30 km/h,19.2 EGP,1.18,$95.90 
8/22/2022 5:15,9%,421 W/m²,69 %H,0 mm,1.37 GW,1005 hPa,26.5 °C,6.46 GW,7.82 GW,0 MW,2.70 km/h,19.2 EGP,1.17,$95.40 
8/22/2022 5:30,3%,465 W/m²,76 %H,0 mm,1.51 GW,1005 hPa,26.4 °C,6.56 GW,8.06 GW,0 MW,2.40 km/h,19.2 EGP,1.17,$96.50 
8/22/2022 5:45,2%,327 W/m²,72 %H,0 mm,1.07 GW,1005 hPa,24.8 °C,6.55 GW,7.63 GW,0 MW,2.40 km/h,19.2 EGP,1.17,$96.90 
8/22/2022 6:00,1%,552 W/m²,68 %H,0 mm,1.78 GW,1005 hPa,26.9 °C,6.34 GW,8.12 GW,0 MW,1.90 km/h,19.2 EGP,1.17,$96.80 
8/22/2022 6:15,1%,568 W/m²,57 %H,0 mm,1.81 GW,1005 hPa,28.9 °C,6.37 GW,8.17 GW,0 MW,2.50 km/h,19.2 EGP,1.16,$98.30 
8/22/2022 6:30,1%,553 W/m²,58 %H,0 mm,1.79 GW,1005 hPa,27.1 °C,6.31 GW,8.10 GW,0 MW,3.50 km/h,19.2 EGP,1.17,$98.50 
8/22/2022 6:45,1%,693 W/m²,64 %H,0 mm,2.23 GW,1005 hPa,27.3 °C,6.32 GW,8.56 GW,0 MW,2.40 km/h,19.2 EGP,1.16,$98.40 
8/22/2022 7:00,0%,700 W/m²,56 %H,0 mm,2.21 GW,1005 hPa,29.5 °C,6.26 GW,8.48 GW,0 MW,3.60 km/h,19.2 EGP,1.16,$97.30 
8/22/2022 7:15,0%,725 W/m²,45 %H,0 mm,2.29 GW,1006 hPa,29.7 °C,5.90 GW,8.19 GW,0 MW,6 km/h,19.2 EGP,1.16,$95.10 
8/22/2022 7:30,0%,724 W/m²,56 %H,0 mm,2.29 GW,1006 hPa,29.7 °C,6.06 GW,8.35 GW,0 MW,3.70 km/h,19.2 EGP,1.16,$96.70 
8/22/2022 7:45,0%,767 W/m²,56 %H,0 mm,2.39 GW,1005 hPa,31.1 °C,6.53 GW,8.93 GW,0 MW,4.60 km/h,19.2 EGP,1.15,$97.40 
8/22/2022 8:00,0%,767 W/m²,44 %H,0 mm,2.37 GW,1006 hPa,32 °C,6.58 GW,8.96 GW,0 MW,6.10 km/h,19.2 EGP,1.15,$98.40 
8/22/2022 8:15,0%,809 W/m²,36 %H,0 mm,2.50 GW,1005 hPa,32 °C,6.70 GW,9.21 GW,0 MW,8.10 km/h,19.2 EGP,1.15,$96.00 
8/22/2022 8:30,0%,791 W/m²,39 %H,0 mm,2.40 GW,1006 hPa,34.3 °C,6.91 GW,9.31 GW,0 MW,7.80 km/h,19.2 EGP,1.14,$96.90 
8/22/2022 8:45,0%,787 W/m²,42 %H,0 mm,2.40 GW,1005 hPa,33.5 °C,6.66 GW,9.06 GW,0 MW,7.90 km/h,19.2 EGP,1.14,$95.70 
8/22/2022 9:00,0%,819 W/m²,35 %H,0 mm,2.48 GW,1005 hPa,34.4 °C,6.94 GW,9.42 GW,0 MW,8.30 km/h,19.2 EGP,1.14,$96.00 
8/22/2022 9:15,0%,830 W/m²,35 %H,0 mm,2.48 GW,1005 hPa,35.7 °C,7.13 GW,9.61 GW,0 MW,9.60 km/h,19.2 EGP,1.13,$96.30 
8/22/2022 9:30,0%,820 W/m²,32 %H,0 mm,2.45 GW,1005 hPa,36 °C,6.94 GW,9.41 GW,16.0 MW,11.1 km/h,19.2 EGP,1.13,$95.20 
8/22/2022 9:45,0%,829 W/m²,35 %H,0 mm,2.50 GW,1005 hPa,35 °C,7.03 GW,9.54 GW,14.1 MW,11 km/h,19.2 EGP,1.14,$97.70 
8/22/2022 10:00,0%,835 W/m²,31 %H,0 mm,2.49 GW,1005 hPa,36 °C,6.49 GW,9.00 GW,17.9 MW,11.2 km/h,19.2 EGP,1.13,$97.60 
8/22/2022 10:15,0%,835 W/m²,30 %H,0 mm,2.48 GW,1005 hPa,36.6 °C,7.38 GW,9.89 GW,27.7 MW,11.7 km/h,19.2 EGP,1.13,$95.80 
8/22/2022 10:30,0%,835 W/m²,31 %H,0 mm,2.47 GW,1005 hPa,37 °C,6.84 GW,9.35 GW,33.5 MW,12 km/h,19.2 EGP,1.13,$98.20 
8/22/2022 10:45,0%,835 W/m²,31 %H,0 mm,2.48 GW,1005 hPa,36.4 °C,6.94 GW,9.47 GW,41.4 MW,12.4 km/h,19.2 EGP,1.13,$98.40 
8/22/2022 11:00,0%,835 W/m²,29 %H,0 mm,2.47 GW,1005 hPa,37 °C,6.88 GW,9.41 GW,53.1 MW,13 km/h,19.2 EGP,1.13,$98.20 
8/22/2022 11:15,0%,835 W/m²,29 %H,0 mm,2.47 GW,1004 hPa,37.1 °C,7.15 GW,9.69 GW,62.8 MW,13.5 km/h,19.2 EGP,1.13,$97.60 
8/22/2022 11:30,0%,822 W/m²,28 %H,0 mm,2.42 GW,1004 hPa,37.6 °C,7.68 GW,10.2 GW,58.8 MW,13.3 km/h,19.2 EGP,1.13,$97.70 
8/22/2022 11:45,0%,832 W/m²,28 %H,0 mm,2.46 GW,1005 hPa,37.2 °C,7.18 GW,9.70 GW,60.8 MW,13.4 km/h,19.2 EGP,1.13,$97.80 
8/22/2022 12:00,0%,814 W/m²,27 %H,0 mm,2.39 GW,1004 hPa,37.7 °C,7.21 GW,9.67 GW,64.6 MW,13.6 km/h,19.2 EGP,1.12,$97.40 
8/22/2022 12:15,0%,733 W/m²,27 %H,0 mm,2.16 GW,1004 hPa,37.7 °C,7.88 GW,10.1 GW,66.6 MW,13.7 km/h,19.2 EGP,1.12,$98.30 
8/22/2022 12:30,0%,755 W/m²,27 %H,0 mm,2.22 GW,1004 hPa,37.7 °C,7.43 GW,9.72 GW,66.6 MW,13.7 km/h,19.2 EGP,1.12,$95.10 
8/22/2022 12:45,0%,731 W/m²,27 %H,0 mm,2.15 GW,1004 hPa,37.8 °C,8.00 GW,10.2 GW,64.6 MW,13.6 km/h,19.2 EGP,1.12,$98.80 
8/22/2022 13:00,0%,674 W/m²,26 %H,0 mm,1.98 GW,1004 hPa,37.8 °C,8.37 GW,10.4 GW,68.5 MW,13.8 km/h,19.2 EGP,1.12,$95.60 
8/22/2022 13:15,0%,675 W/m²,26 %H,0 mm,1.98 GW,1004 hPa,37.7 °C,8.53 GW,10.6 GW,54.9 MW,13.1 km/h,19.2 EGP,1.12,$96.90 
8/22/2022 13:30,0%,679 W/m²,26 %H,0 mm,2.00 GW,1004 hPa,37.7 °C,8.71 GW,10.8 GW,64.6 MW,13.6 km/h,19.2 EGP,1.12,$95.90 
8/22/2022 13:45,0%,678 W/m²,26 %H,0 mm,1.99 GW,1004 hPa,37.8 °C,8.33 GW,10.4 GW,51.0 MW,12.9 km/h,19.2 EGP,1.12,$97.50 
8/22/2022 14:00,0%,679 W/m²,26 %H,0 mm,2.00 GW,1004 hPa,37.7 °C,8.06 GW,10.1 GW,49.0 MW,12.8 km/h,19.2 EGP,1.12,$95.70 
8/22/2022 14:15,0%,559 W/m²,26 %H,0 mm,1.65 GW,1004 hPa,37.2 °C,9.15 GW,10.9 GW,49.1 MW,12.8 km/h,19.2 EGP,1.13,$98.60 
8/22/2022 14:30,0%,535 W/m²,26 %H,0 mm,1.58 GW,1004 hPa,37.5 °C,8.88 GW,10.5 GW,41.3 MW,12.4 km/h,19.2 EGP,1.13,$98.10 
8/22/2022 14:45,0%,627 W/m²,26 %H,0 mm,1.85 GW,1004 hPa,37.2 °C,9.22 GW,11.1 GW,33.5 MW,12 km/h,19.2 EGP,1.13,$96.30 
8/22/2022 15:00,0%,521 W/m²,26 %H,0 mm,1.54 GW,1004 hPa,37.1 °C,8.67 GW,10.2 GW,33.5 MW,12 km/h,19.2 EGP,1.13,$97.50 
8/22/2022 15:15,0%,488 W/m²,29 %H,0 mm,1.45 GW,1004 hPa,36.9 °C,8.92 GW,10.4 GW,37.4 MW,12.2 km/h,19.2 EGP,1.13,$96.70 
8/22/2022 15:30,0%,521 W/m²,27 %H,0 mm,1.55 GW,1004 hPa,36.6 °C,9.22 GW,10.8 GW,37.5 MW,12.2 km/h,19.2 EGP,1.13,$98.30 
8/22/2022 15:45,0%,398 W/m²,28 %H,0 mm,1.18 GW,1004 hPa,37 °C,8.94 GW,10.2 GW,39.4 MW,12.3 km/h,19.1 EGP,1.13,$97.60 
8/22/2022 16:00,0%,361 W/m²,29 %H,0 mm,1.08 GW,1004 hPa,36.1 °C,9.31 GW,10.4 GW,51.2 MW,12.9 km/h,19.1 EGP,1.13,$97.80 
8/22/2022 16:15,0%,166 W/m²,31 %H,0 mm,502 MW,1004 hPa,34.7 °C,9.91 GW,10.5 GW,77.1 MW,14.2 km/h,19.1 EGP,1.14,$99.00 
8/22/2022 16:30,0%,195 W/m²,31 %H,0 mm,589 MW,1004 hPa,34.8 °C,10.2 GW,10.9 GW,59.1 MW,14.7 km/h,19.2 EGP,1.14,$97.50 
8/22/2022 16:45,0%,105 W/m²,31 %H,0 mm,316 MW,1004 hPa,35.1 °C,10.1 GW,10.5 GW,110 MW,16.5 km/h,19.2 EGP,1.13,$97.10 
8/22/2022 17:00,0%,25 W/m²,32 %H,0 mm,75.7 MW,1004 hPa,34.4 °C,9.75 GW,9.95 GW,125 MW,18.1 km/h,19.1 EGP,1.14,$96.30 
8/22/2022 17:15,0%,5 W/m²,37 %H,0 mm,15.2 MW,1005 hPa,33.7 °C,9.87 GW,10.0 GW,151 MW,18.8 km/h,19.1 EGP,1.14,$98.00 
8/22/2022 17:30,0%,3 W/m²,34 %H,0 mm,9.21 MW,1005 hPa,32.9 °C,9.66 GW,9.88 GW,207 MW,20.3 km/h,19.1 EGP,1.14,$99.10 
8/22/2022 17:45,0%,6 W/m²,34 %H,0 mm,18.3 MW,1004 hPa,33.5 °C,10.0 GW,10.2 GW,203 MW,20.2 km/h,19.1 EGP,1.14,$96.20 
8/22/2022 18:00,0%,0 W/m²,37 %H,0 mm,0 MW,1005 hPa,32.9 °C,9.22 GW,9.56 GW,334 MW,24.3 km/h,19.2 EGP,1.14,$96.60 
8/22/2022 18:15,0%,0 W/m²,40 %H,0 mm,0 MW,1005 hPa,31 °C,9.72 GW,10.2 GW,523 MW,27 km/h,19.2 EGP,1.15,$99.20 
8/22/2022 18:30,0%,0 W/m²,45 %H,0 mm,0 MW,1006 hPa,32.4 °C,9.36 GW,9.81 GW,448 MW,25.4 km/h,19.1 EGP,1.15,$97.70 
8/22/2022 18:45,0%,0 W/m²,38 %H,0 mm,0 MW,1005 hPa,32.2 °C,9.67 GW,10.1 GW,480 MW,26.1 km/h,19.2 EGP,1.15,$97.10 
8/22/2022 19:00,0%,0 W/m²,47 %H,0 mm,0 MW,1006 hPa,30.8 °C,9.53 GW,10.1 GW,564 MW,27.9 km/h,19.2 EGP,1.15,$98.60 
8/22/2022 19:15,0%,0 W/m²,51 %H,0 mm,0 MW,1006 hPa,29.4 °C,9.00 GW,9.56 GW,556 MW,27.7 km/h,19.2 EGP,1.16,$97.20 
8/22/2022 19:30,0%,0 W/m²,54 %H,0 mm,0 MW,1006 hPa,30.1 °C,9.06 GW,9.62 GW,557 MW,27.8 km/h,19.1 EGP,1.16,$95.60 
8/22/2022 19:45,0%,0 W/m²,50 %H,0 mm,0 MW,1006 hPa,29.7 °C,9.25 GW,9.81 GW,562 MW,27.8 km/h,19.2 EGP,1.16,$96.80 
8/22/2022 20:00,0%,0 W/m²,55 %H,0 mm,0 MW,1006 hPa,29.2 °C,9.19 GW,9.74 GW,548 MW,27.6 km/h,19.2 EGP,1.16,$98.60 
8/22/2022 20:15,0%,0 W/m²,62 %H,0 mm,0 MW,1006 hPa,28.2 °C,9.36 GW,9.89 GW,534 MW,27.4 km/h,19.1 EGP,1.16,$97.30 
8/22/2022 20:30,0%,0 W/m²,60 %H,0 mm,0 MW,1006 hPa,28.6 °C,9.02 GW,9.53 GW,508 MW,26.8 km/h,19.2 EGP,1.16,$97.20 
